Product Code:,Animal Species,Establishment Code,Establishment Name,Subsidiaries,Product True Name,Agent(s):,Trade Name(s):,Distributor(s):,Usage,Dosage_and_TimePeriod,Dosage_Source_Reference,Usage_Improved
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/738ff60a-1beb-45d0-b041-1d5a3e5b86fb"">277400</a>","Chicken,Turkey",190,Zoetis Inc.,Not Applicable,Mycoplasma Gallisepticum Bacterin,Mycoplasma gallisepticum,MG-Bac,Agrimatco Limited Algeria; Zoetis (Thailand) Limited; Zoetis Industria de Produtos; Zoetis Russia; Zoetis de Uruguay S.R.L.,"A bacterin for chicken,turkeys that provides immunity against mycoplasma gallisepticum.",Inject 1 mL intramuscularly (IM). Often 2-dose primary series with second dose 14 days after first; follow label for herd protocols.,"Pharmgate / product inserts (MycoGard, RespiSure).","A bacterin for chicken,turkeys that provides immunity against mycoplasma gallisepticum."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/512a1ef9-e33c-43fb-8e86-7f16b905faaa"">127141</a>",Chicken,165A,Intervet Inc.,Merck Sharpe and Dohme (MSD),"Bursal Disease Vaccine, Live Virus","Bursal Disease (Birnavirus, Avian)",Univax 2S; Univax Plus,Intervet Argentina S.A.; Merck Sharpe and Dohme (MSD); Merck Animal Health; MSD Salud Animal Columbia S.A.S.; Abdulrehman Algosabi GTC (Saudi Arabia),"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/c1706838-ea0d-4ffd-841d-5321e28745ca"">115120</a>",Bovine,213,"Diamond Animal Health, Inc.","Diamond Animal Health, Inc.","Bovine Rhinotracheitis-Virus Diarrhea Vaccine, Modified Live Virus","Bovine Virus Diarrhea Virus (Untyped);Herpesvirus, Bovine (IBR)",Titanium 3,"Elanco Animal Health; Elanco US, Inc; Elanco, Division Eli Lilly Canada, Inc.","A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped);herpesvirus, bovine (ibr).","Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,"A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped);herpesvirus, bovine (ibr)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/4e7c23b4-279d-44f8-93cc-b9b427dad839"">190521</a>","Canine,Feline,Equine",196,Elanco US Inc.,Elanco US Inc.,"Rabies Vaccine, Killed Virus",Rabies Virus,Rabvac 3,No distributor specified,"A vaccine for canine,feline,equines that helps protect against rabies virus.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for canine,feline,equines that helps protect against rabies virus."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/dab57dca-df05-4639-9cb2-07b249cf3da2"">1555R1</a>",Feline,196,Elanco US Inc.,Elanco US Inc.,"Feline Leukemia Vaccine, Killed Virus",Feline Leukemia Virus,Fel-O-Vax Lv-K,No distributor specified,A vaccine for felines that helps protect against feline leukemia virus.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for felines that helps protect against feline leukemia virus.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/b19873a5-538e-4c73-855e-51591c1320a0"">787002</a>","Ovine,Bovine",190,Zoetis Inc.,Not applicable,Clostridium Perfringens Types C &amp; D Bacterin-Toxoid,Clostridium perfringens Type C; Clostridium perfringens Type D,UltraChoice CD,No distributor specified,"A bacterin for ovine,bovines that provides immunity against clostridium perfringens type c; clostridium perfringens type d.",Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,"A bacterin for ovine,bovines that provides immunity against clostridium perfringens type c; clostridium perfringens type d."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/fab9e02f-b25e-4f50-8163-8867be96b1a7"">170110</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Newcastle Disease Vaccine, VG/GA Strain, Live Virus","Paramyxovirus, Avian (Newcastle)",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/73ec4283-3398-4f80-8d7b-bd9b031e27b6"">1XC110</a>",Chicken,165A,Intervet Inc,Not Applicable,"Newcastle-Bronchitis Vaccine, B1 Type, C2 Strain, Mass &amp; Conn Types, Live Virus","Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle)",Newhatch-C2-MC,Merck Animal Health,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/d4a7418b-206c-4fce-be1f-bdc90153d462"">44D722</a>",Bovine,196,Elanco US Inc.,Elanco US Inc.,"Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine, Killed Virus, Haemophilus Somnus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin","Bovine Virus Diarrhea Virus (Untyped); Herpesvirus, Bovine (IBR); Histophilus (Haemophilus) somni; Leptospira canicola; L. grippotyphosa; L. hardjo; L. icterohaemorrhagiae; L. pomona;  Parainfluenza 3 Virus,Bovine; Respiratory Syncytial Virus,Bovine",Vira Shield 6 + L5 HB Somnus; Vira Shield 6 + VL5 HB Somnus,No distributor specified,"A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); histophilus (haemophilus) somni; leptospira canicola; l. grippotyphosa; l. hardjo; l. icterohaemorrhagiae; l. pomona;  parainfluenza 3 virus,bovine; respiratory syncytial virus,bovine.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); histophilus (haemophilus) somni; leptospira canicola; l. grippotyphosa; l. hardjo; l. icterohaemorrhagiae; l. pomona;  parainfluenza 3 virus,bovine; respiratory syncytial virus,bovine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/e9d1382f-517e-4705-92b2-e487c33a3af2"">164105</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Marek's Disease Vaccine, Serotype 3, Live Virus","Herpesvirus, Turkey [Mareks, Serotype 3]",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against herpesvirus, turkey [mareks, serotype 3].",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against herpesvirus, turkey [mareks, serotype 3]."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/49c7b7c7-bfad-4649-9e05-90a24e25f06d"">938000</a>",Feline,637,"Sass &amp; Sass, Inc",Not Applicable,Polyprenyl Immunostimulant,Immunomodulator,VetImmune,No distributor specified,This product is used in felines to help prevent or protect against diseases caused by immunomodulator.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,This product is used in felines to help prevent or protect against diseases caused by immunomodulator.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/95814e41-e275-41c1-99ab-0d575cddf7ea"">19U520</a>",Swine,190,Zoetis Inc.,Not applicable,"Porcine Epidemic Diarrhea Vaccine, Killed Virus","Coronavirus, Porcine (PEDV)",No trade name assigned,No distributer specified,"A vaccine for swines that helps protect against coronavirus, porcine (pedv).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for swines that helps protect against coronavirus, porcine (pedv)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/7531476a-a056-43d6-a04e-f524dc374487"">484520</a>",Equine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Encephalomyelitis-Rhinopneumonitis-Influenza Vaccine, Eastern &amp; Western, Killed Virus, Tetanus Toxoid","Clostridium tetani; Encephalomyelitis Virus, Eastern Equine; Encephalomyelitis Virus, Equine, Western; Herpesvirus, Equine (Rhinopneumonitis, Untyped); Influenza Virus, Equine",Equi-Jec 5,No distributor specified,"A vaccine for equines that helps protect against clostridium tetani; encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, western; herpesvirus, equine (rhinopneumonitis, untyped); influenza virus, equine.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for equines that helps protect against clostridium tetani; encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, western; herpesvirus, equine (rhinopneumonitis, untyped); influenza virus, equine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/f387cd36-bb66-46fc-95a7-dc9ef27ee871"">16D522</a>",Feline,196,Elanco US Inc.,Elanco US Inc.,"Feline Rhinotracheitis-Calici-Panleukopenia Vaccine, Killed Virus","Calicivirus, Feline; Herpesvirus, Feline (Rhinotracheitis); Parvovirus, Feline (Panleukopenia)",Ultra Fel-O-Vax FVRCP,No distributor specified,"A vaccine for felines that helps protect against calicivirus, feline; herpesvirus, feline (rhinotracheitis); parvovirus, feline (panleukopenia).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for felines that helps protect against calicivirus, feline; herpesvirus, feline (rhinotracheitis); parvovirus, feline (panleukopenia)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/9bba5d48-1649-4333-a3d0-5ef8af0f7583"">4X4921</a>",Bovine,124,"Boehringer Ingelheim Vetmedica, Inc.",Not Applicable,"Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine, Modified Live Virus, Mannheimia Haemolytica Toxoid","Parainfluenza 3 Virus, Bovine; Bovine Virus Diarrhea Virus (Untyped); Herpesvirus, Bovine (IBR); Respiratory Syncytial Virus, Bovine ; Mannheimia (Pasteurella) haemolytica",Pyramid 5 +PRESPONSE SQ; Pyramid FP 5 + Presponse SQ,Boehringer Ingelheim (Canada) Ltd.,"A vaccine for bovines that helps protect against parainfluenza 3 virus, bovine; bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); respiratory syncytial virus, bovine ; mannheimia (pasteurella) haemolytica.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for bovines that helps protect against parainfluenza 3 virus, bovine; bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); respiratory syncytial virus, bovine ; mannheimia (pasteurella) haemolytica."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/e4d882e5-f090-4a2a-8b5f-62a8f9b4b8f8"">270122</a>","Ovine,Caprine,Swine,Bovine",188,Colorado Serum Company,Not applicable,"Pasteurella Multocida Bacterin, Bovine &amp; Porcine Isolates",Pasteurella multocida (Untyped),No trade name assigned,No distributor specified,"A bacterin for ovine,caprine,swine,bovines that provides immunity against pasteurella multocida (untyped).","Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,"A bacterin for ovine,caprine,swine,bovines that provides immunity against pasteurella multocida (untyped)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/89ea3d62-2388-4873-9f27-71c84265c151"">213802</a>",Fish,303A,"Elanco US, Inc.",Not applicable,Aeromonas Salmonicida-Vibrio Anguillarum-Ordalii-Salmonicida Bacterin,Aeromonas salmonicida; Vibrio anguillarum; Vibrio ordalii; Vibrio salmonicida,Forte micro,"Elanco US, Inc.",A bacterin for fishs that provides immunity against aeromonas salmonicida; vibrio anguillarum; vibrio ordalii; vibrio salmonicida.,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A bacterin for fishs that provides immunity against aeromonas salmonicida; vibrio anguillarum; vibrio ordalii; vibrio salmonicida.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/972d3d92-972b-4dc9-844c-88e42e41bd2b"">186101</a>",Bovine,165A,Intervet Inc.,Merck Sharpe and Dohme (MSD); Merck Animal Health,"Mannheimia Haemolytica-Pasteurella Multocida Vaccine, Avirulent Live Culture",Mannheimia (Pasteurella) haemolytica; Pasteurella multocida (Untyped),Bovilis Once PMH SQ; Once PMH SQ,Intervet Mexico S.A. de C.V.,A vaccine for bovines that helps protect against mannheimia (pasteurella) haemolytica; pasteurella multocida (untyped).,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A vaccine for bovines that helps protect against mannheimia (pasteurella) haemolytica; pasteurella multocida (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/33c6cea6-7aba-413d-9991-852df024b389"">18P5R0</a>",Swine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Parvovirus Vaccine, Killed Baculovirus Vector","Parvovirus, Porcine",No trade name assigned,No distributor specified,"A vaccine for swines that helps protect against parvovirus, porcine.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for swines that helps protect against parvovirus, porcine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/0ab93aff-06e6-4d99-b622-c68339b0e370"">175101</a>",Chicken,165a,Intervet Inc.,Not Applicable,"Mycoplasma Gallisepticum Vaccine, Live Culture",Mycoplasma gallisepticum,Mycovac-L,Merck Animal Health; Intervet Canada Corp.,A vaccine for chickens that helps protect against mycoplasma gallisepticum.,Inject 1 mL intramuscularly (IM). Often 2-dose primary series with second dose 14 days after first; follow label for herd protocols.,"Pharmgate / product inserts (MycoGard, RespiSure).",A vaccine for chickens that helps protect against mycoplasma gallisepticum.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/e4295c5a-47cb-4865-865b-5ac363274069"">123112</a>",Chicken,368,"Ceva Animal Health, LLC",Not applicable,"Bronchitis Vaccine, Mass Type, Live Virus","Coronavirus, Chicken (Bronchitis)",CEVAC BRON MASS,No distributor specified,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/c40723e1-bee6-40b1-955c-d73797bc21d5"">48W5A2</a>",Equine,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,"Encephalomyelitis-West Nile Virus Vaccine, Eastern &amp; Western &amp; Venezuelan, Killed Virus, Tetanus Toxoid","Clostridium tetani; Encephalomyelitis Virus, Eastern Equine; Encephalomyelitis Virus, Equine, Venezuelan; Encephalomyelitis Virus, Equine, Western; West Nile Virus",Vetera VEWT + WNV,No distributor specified,"A vaccine for equines that helps protect against clostridium tetani; encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, venezuelan; encephalomyelitis virus, equine, western; west nile virus.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for equines that helps protect against clostridium tetani; encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, venezuelan; encephalomyelitis virus, equine, western; west nile virus."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/2c78f917-3cca-4633-8170-14d7e174b139"">267102</a>",Canine,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,Leptospira Canicola-Icterohaemorrhagiae Bacterin,Leptospira canicola; Leptospira icterohaemorrhagiae,No trade name assigned,No distributor specified,A bacterin for canines that provides immunity against leptospira canicola; leptospira icterohaemorrhagiae.,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A bacterin for canines that provides immunity against leptospira canicola; leptospira icterohaemorrhagiae.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/3efee9fd-d919-4f62-980a-6004b364fef2"">143156</a>",Chicken,368,"Ceva Animal Health, LLC",Biomune Company,"Coccidiosis Vaccine, Live Oocysts",Coccidia (Untyped),Immucox 3,Biomune,A vaccine for chickens that helps protect against coccidia (untyped).,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for chickens that helps protect against coccidia (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/1c8208cf-ecc5-4c00-9906-2b5ccdbb0e37"">2126R1</a>",Canine,190,Zoetis Inc.,Not Applicable,Borrelia Burgdorferi Bacterial Extract,Borrelia burgdorferi,Vanguard CrLyme,No distributor specified,This product is used in canines to help prevent or protect against diseases caused by borrelia burgdorferi.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,This product is used in canines to help prevent or protect against diseases caused by borrelia burgdorferi.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/75a56f46-7bad-4bfb-b5c0-fdc0964f4662"">17621J</a>",Chicken,298,"Merial, Inc.",Not applicable,"Newcastle-Bronchitis Vaccine, B1 Type B1 Strain, Mass &amp; Conn Types, Live Virus","Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle)",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/0ed957a4-5fcf-4606-89d4-17638b9bd477"">135120</a>",Canine,190,Zoetis Inc.,Not applicable,"Canine Distemper-Measles Vaccine, Modified Live Virus","Paramyxovirus, Canine (Distemper); Paramyxovirus, Human (Measles)",Vanguard DM,No distributor specified,"A vaccine for canines that helps protect against paramyxovirus, canine (distemper); paramyxovirus, human (measles).",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against paramyxovirus, canine (distemper); paramyxovirus, human (measles)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/3af8ca17-d253-4756-84ef-d7fc51115350"">47K120</a>",Canine,165A,Intervet Inc.,Merck Animal Health,"Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Vaccine, Modified Live Virus, Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterin","Leptospira canicola; Leptospira grippotyphosa; Leptospira icterohaemorrhagiae; Leptospira pomona; Adenovirus, Canine, Type 2; Parainfluenza, Canine; Paramyxovirus, Canine (Distemper); Parvovirus, Canine",Nobivac Canine 1-DAPPv + L4; Procyon DAPPv +L4,MSD Salud Animal Columbia S.A.S.,"A vaccine for canines that helps protect against leptospira canicola; leptospira grippotyphosa; leptospira icterohaemorrhagiae; leptospira pomona; adenovirus, canine, type 2; parainfluenza, canine; paramyxovirus, canine (distemper); parvovirus, canine.",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against leptospira canicola; leptospira grippotyphosa; leptospira icterohaemorrhagiae; leptospira pomona; adenovirus, canine, type 2; parainfluenza, canine; paramyxovirus, canine (distemper); parvovirus, canine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/9664c61d-7812-4b11-8d7e-c22388a1c67c"">156123</a>",Feline,213,"Diamond Animal Health, Inc.",Not Applicable,"Feline Panleukopenia Vaccine, Modified Live Virus","Parvovirus, Feline (Panleukopenia)",Feline UltraNasal FPL,No distributor specified,"A vaccine for felines that helps protect against parvovirus, feline (panleukopenia).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for felines that helps protect against parvovirus, feline (panleukopenia)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/deeefe9e-23f7-4738-9d6f-14babb6319b4"">172116</a>","Chicken,Turkey",165A,Intervet Inc.,Not Applicable,"Newcastle Disease Vaccine, B1 Type, LaSota Strain, Live Virus","Paramyxovirus, Avian (Newcastle)",Newcastle Cloned N-79,IFT Corp (Egypt);Merck Animal Health,"A vaccine for chicken,turkeys that helps protect against paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chicken,turkeys that helps protect against paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/2ee28b7b-33da-470d-b36b-6fab5642b14f"">12M501</a>",Chicken,196,Elanco US Inc,Elanco US Inc,"Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Vaccine, Standard &amp; Variant, Mass Type, Killed Virus","Bursal Disease (Birnavirus, Avian); Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle); Reovirus, Avian (Unspecified Syndrome)",AviPro 431 ND-IB-BD3-REO,"Bio Pharma Trading Co.; EURL Provast; Elanco Philippines; Elanco Salud Animal, S.A. de C.V.; Saude Animal Ltda. (Brazil); Elanco US Inc.; Eli Lilly Philippines, Inc.; Ilender Bolivia S.A.;International Science Solution Co. LTD.","A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle); reovirus, avian (unspecified syndrome).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle); reovirus, avian (unspecified syndrome)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/62a0d204-0e0f-4ea4-bd25-f78253c33aed"">7906R0</a>",Bovine,196,Elanco US Inc.,Elanco US Inc.,Mannheimia Haemolytica Bacterial Extract-Toxoid,Mannheimia (Pasteurella) haemolytica,Nuplura PH,No distributor specified,This product is used in bovines to help prevent or protect against diseases caused by mannheimia (pasteurella) haemolytica.,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",This product is used in bovines to help prevent or protect against diseases caused by mannheimia (pasteurella) haemolytica.
